InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV1004,SKU036,Running Shoes,18,2024-03-24 00:00:00,9.15,412.0,United Kingdom
INV2466,SKU144,Markers Set,23,2023-12-14 00:00:00,54.72,4.0,United Kingdom
INV0654,SKU109,Bookshelf,7,2024-11-22 00:00:00,95.73,403.0,United Kingdom
INV1409,SKU068,Blender,18,2024-10-05 00:00:00,12.92,2.0,France
INV1482,SKU050,Jeans,8,2024-09-21 00:00:00,77.41,721.0,Sweden
INV1495,SKU095,Wall Clock,9,2024-02-22 00:00:00,70.32,594.0,United Kingdom
INV1003,SKU119,Picture Frame,21,2024-02-22 00:00:00,68.97,3.0,United Kingdom
INV0132,SKU103,String Lights,19,2024-05-10 00:00:00,87.69,39.0,United Kingdom
INV1880,SKU068,Electric Kettle,18,2024-02-12 00:00:00,54.12,602.0,United Kingdom
INV0899,SKU131,File Folders,2,2024-02-09 00:00:00,86.17,309.0,United Kingdom
INV0261,SKU098,Plant Pot,17,2024-06-15 00:00:00,25.51,359.0,United Kingdom
INV2200,SKU197,Scissors,14,2024-04-15 00:00:00,16.24,748.0,United Kingdom
INV2051,SKU130,Sticky Notes,10,2024-03-01 00:00:00,84.24,768.0,United Kingdom
INV2210,SKU001,Audio Jack,1,2024-08-28 00:00:00,11.63,202.0,United Kingdom
INV0987,SKU021,Phone Case,3,2024-09-16 00:00:00,97.8,557.0,United Kingdom
INV0677,SKU136,Envelopes,7,2024-04-14 00:00:00,92.92,8.0,United Kingdom
INV1530,SKU133,Binder,8,2024-07-12 00:00:00,6.87,765.0,United Kingdom
INV0291,SKU162,Pen Set,2,2024-11-27 00:00:00,86.03,701.0,United Kingdom
INV2209,SKU186,Post-its,8,2024-02-06 00:00:00,78.56,353.0,United Kingdom
INV1452,SKU106,Area Rug,2,2024-07-04 00:00:00,67.49,60.0,France
INV0448,SKU050,Scarf,5,2024-04-06 00:00:00,42.47,6.0,United Kingdom
INV2255,SKU013,Wireless Charger,3,2024-01-20 00:00:00,92.66,49.0,United Kingdom
INV1643,SKU043,Shorts,-7,2023-12-31 00:00:00,26.89,259.0,United Kingdom
INV2277,SKU184,File Folders,10,2024-11-03 00:00:00,22.16,227.0,United Kingdom
INV0235,SKU150,File Folders,17,2023-12-26 00:00:00,16.16,431.0,France
INV0964,SKU031,Thermal Leggings,20,2024-06-24 00:00:00,4.45,435.0,United Kingdom
INV1069,SKU172,Scissors,13,2024-03-14 00:00:00,13.52,689.0,United Kingdom
INV0039,SKU160,Post-its,3,2024-07-22 00:00:00,53.99,395.0,United Kingdom
INV1001,SKU073,Food Processor,18,2024-06-07 00:00:00,70.5,6.0,United Kingdom
INV2272,SKU170,Sticky Notes,5,2024-05-02 00:00:00,26.81,734.0,Austria
INV1405,SKU176,Eraser,9,2024-03-14 00:00:00,90.57,155.0,United Kingdom
INV0181,SKU086,Electric Kettle,9,2023-12-02 00:00:00,16.58,7.0,United Kingdom
INV0309,SKU039,Leather Belt,12,2024-11-18 00:00:00,58.45,,United Kingdom
INV0164,SKU054,Gloves,12,2024-06-01 00:00:00,78.11,5.0,Spain
INV0970,SKU046,Sweatpants,-6,2024-02-22 00:00:00,78.34,783.0,United Kingdom
INV1093,SKU180,Sticky Notes,2,2024-02-20 00:00:00,85.92,776.0,United Kingdom
INV0933,SKU007,Phone Mount,9,2024-03-24 00:00:00,86.49,635.0,Denmark
INV2197,SKU008,Screen Protector,9,2024-05-18 00:00:00,18.27,271.0,Denmark
INV1285,SKU156,Calendar,19,2024-07-11 00:00:00,19.41,10.0,United Kingdom
INV2206,SKU185,Markers Set,3,2024-11-16 00:00:00,94.9,277.0,Norway
INV1231,SKU080,Waffle Maker,23,2024-08-16 00:00:00,29.91,74.0,United Kingdom
INV0713,SKU146,Ruler,1,2024-10-11 00:00:00,30.73,205.0,United Kingdom
INV1905,SKU114,Track Light,24,2024-07-14 00:00:00,17.38,710.0,United Kingdom
INV0383,SKU173,Ruler,7,2024-03-30 00:00:00,15.16,724.0,United Kingdom
INV0299,SKU107,Wall Art,23,2024-07-21 00:00:00,38.7,712.0,United Kingdom
INV0437,SKU057,Winter Hat,23,2024-07-05 00:00:00,52.03,1.0,United Kingdom
INV1904,SKU136,Planner,15,2024-11-06 00:00:00,61.45,73.0,United Kingdom
INV0652,SKU116,String Lights,21,2024-07-31 00:00:00,28.09,680.0,United Kingdom
INV0318,SKU074,Slow Cooker,11,2024-11-30 00:00:00,89.35,133.0,United Kingdom
INV0877,SKU107,Throw Pillow,15,2024-01-02 00:00:00,41.87,207.0,United Kingdom
INV0081,SKU098,Curtain Rod,-6,2024-09-20 00:00:00,30.21,310.0,United Kingdom
INV2237,SKU057,Hiking Boots,14,2024-10-04 00:00:00,48.82,614.0,United Kingdom
INV1915,SKU160,Planner,-7,2024-02-04 00:00:00,59.39,607.0,United Kingdom
INV1892,SKU013,Tempered Glass,7,2024-03-03 00:00:00,45.74,7.0,United Kingdom
INV1727,SKU021,SIM Card Tray,-9,2024-04-08 00:00:00,5.68,542.0,Sweden
INV0165,SKU064,Rice Cooker,20,2023-12-16 00:00:00,15.66,799.0,United Kingdom
INV1905,SKU066,Juicer,20,2024-11-23 00:00:00,96.38,688.0,United Kingdom
INV0443,SKU007,Stylus Pen,13,2024-09-22 00:00:00,39.96,483.0,United Kingdom
INV1236,SKU154,Sticky Notes,19,2024-11-15 00:00:00,78.36,4.0,United Kingdom
INV1398,SKU108,Curtain Rod,12,2023-12-07 00:00:00,63.73,200.0,United Kingdom
INV2138,SKU070,Bread Maker,18,2024-10-29 00:00:00,77.57,622.0,United Kingdom
INV1006,SKU072,Pressure Cooker,15,2024-01-14 00:00:00,57.19,703.0,United Kingdom
